First Name,Last Name,Homework 1,Homework 2,Homework 3,Homework 4,Lab 1,Lab 2,Exam 1
Peter,Parker,62,96,62,62,69,67,71
Tony,Stark,68,77,80,40,91,79,66
Nick,Fury,85,91,63,74,97,94,88
Scott,Lang,79,67,78,61,84,94,98
Wanda,Maximoff,66,68,68,80,72,61,84
Peter,Quill,91,74,66,70,78,95,69
James,Rhodes,91,80,64,68,83,69,68
Natasha,Romanoff,7,79,92,97,67,61,77
Stephen,Strange,88,60,78,79,72,94,45
Sam,Wilson,95,94,63,97,98,66,95
Jessica,Jones,75,99,78,61,72,74,84
Luke,Cage,72,83,76,88,86,81,85
Oliver,Queen,100,89,88,96,83,80,62
Dinah,Lance,78,80,100,91,89,79,100
Dick,Grayson,91,86,94,66,87,86,89
Hal,Jordan,63,81,69,95,89,92,86
Bruce,Wayne,99,98,78,99,95,80,99
Clarke,Kent,61,76,85,90,65,62,89
Barry,Allen,65,62,82,74,61,95,62
Ray,Palmer,71,95,94,50,63,94,64
Arthur,Curry,61,73,64,86,93,89,78
Stephen,Stone,73,63,88,91,90,84,76
Garfield,Logan,68,98,72,79,83,72,49
Rachel,Roth,70,100,88,97,80,20,84
